SKU;BRAND;MODEL SEIRES;DESCRIPTION;RSP;2025-05-07 00:00:00.1;COST INC VAT
CABHYB079;HYBRID;CTIE-340MM-BLK-10PC;Cable straps- 340mm long- 10Pcs blister pack. Suitable for pegboard display. (Black);49;1+;40
CABHYB080;HYBRID;CTIE-340MM-RED-10PC;Cable straps- 340mm long- 10Pcs blister pack. Suitable for pegboard display. (Red);49;1+;40
CABHYB081;HYBRID;CTIE-340MM-BLU-10PC;Cable straps- 340mm long- 10Pcs blister pack. Suitable for pegboard display. (Blue);49;1+;40
CABHYB082;HYBRID;CTIE-340MM-GR-10PC;Cable straps- 340mm long- 10Pcs blister pack.Suitable for pegboard display.(Green);49;1+;40
CABHYB083;HYBRID;POW-PCON-SA3P-2M;Powercon - SA 3Pin 15A mains cable- 2.0M;175;1+;145
CABHYB084;HYBRID;POW-PWB005;Power-in (Blue) - Power-out (White)- 0.5M- mains link;107;1+;89
CABHYB085;HYBRID;POW-PW015;Power-in (Blue) - Power-out (White)- 1.5M- mains link;150;1+;125
CABHYB086;HYBRID;POW-PW025;Power-in (Blue) - Power-out (White)- 2.5M- mains link;191;1+;159
CABHYB087;HYBRID;SIG-UB-2RCA-2RCA-0.8M;2 x RCA - 2 x RCA- gold plated- unbalanced- 0.8M. Suitable for pegboard display;119;1+;99
CABHYB088-1;HYBRID;SPE-2X0.5MM-100M/WH;2 x 0.5mm core- 100M rip-cord roll. (White);311;1+;259
CABHYB089-1;HYBRID;SPE-2X0.75MM-100M/WH;2 x 0.75mm core- 100M rip-cord roll. (White);436;1+;363
CABHYB090-1;HYBRID;SPE-2X1.0MM-100M/WH;2 x 1.0mm core- 100M rip-cord roll. (White);580;1+;483
CABHYB091;HYBRID;SIG-UB-2X(M)-2J(M)-1.8M;2 x XLR(Male) - 2 x Jack 6.5mm mono- unbalanced- 1.8M. Suitable for pegboard;125;1+;104
CABHYB092;HYBRID;CT20;Cable tester- CT02 + HDMI- RJ45- USB A&B;885;1+;737
CABHYB093;HYBRID;POW-EXT-1.5MM-10M;Mains extension cable- 1.5mm- 10M w LED indicator;504;1+;420
CABHYB095;HYBRID;POW-EXT-1.5MM-5M;Mains extension cable- 1.5mm-5M with LED indicator;332;1+;276
CABHYB099;HYBRID;POW-EXT-2.5MM-5M;Mains extension cable- 2.5mm- 5M with LED indicator;389;1+;324
CABHYB100;HYBRID;POW-EXT-2.5MM-10M;Mains extension cable- 2.5mm- 10M w LED indicator;667;1+;555
CABHYB101;HYBRID;POW-EXT-2.5MM-15M;Mains extension cable- 2.5mm- 15M w LED indicator;1044;1+;870
CABHYB109;HYBRID+;FP-18;"18"" bass- flat-pack- unassembled- with hardware";3244;1+;2703
CABHYB111;HYBRID;INS-J(M)-J(M)-3M-RED;Jack 6.5mm -Jack 6.5mm mono- unbalanced- 3M- woven instrument cable- Red;134;1+;111
CABHYB112;HYBRID;INS-J(M)-J(M)-6M-RED;Jack 6.5mm -Jack 6.5mm mono- unbalanced- 6M- woven instrument cable- Red;185;1+;154
CABHYB113;HYBRID;INS-J(M)-J(M)-10M-RED;Jack 6.5mm -Jack 6.5mm mono- unbalanced- 10M- woven instrument cable- Red;240;1+;200
CABHYB114;HYBRID;INS-J(M)-J(M)-3M-BLK;Jack 6.5mm -Jack 6.5mm mono- unbalanced- 3M- woven instrument cable- Black;134;1+;111
CABHYB115;HYBRID;INS-J(M)-J(M)-6M-BLK;Jack 6.5mm -Jack 6.5mm mono- unbalanced- 6M- woven instrument cable- Black;185;1+;154
CABHYB116;HYBRID;INS-J(M)-J(M)-10M-BLK;Jack 6.5mm -Jack 6.5mm mono- unbalanced- 10M- woven instrument cable- Black;240;1+;200
CABHYB117;HYBRID;INS-J(M)-J(M)-3M-BLUE;Jack 6.5mm -Jack 6.5mm mono- unbalanced- 3M- woven instrument cable- Blue;134;1+;111
CABHYB118;HYBRID;INS-J(M)-J(M)-6M-BLUE;Jack 6.5mm -Jack 6.5mm mono- unbalanced- 6M- woven instrument cable- Blue;185;1+;154
CABHYB119;HYBRID;INS-J(M)-J(M)-10M-BLUE;Jack 6.5mm -Jack 6.5mm mono- unbalanced- 10M- woven instrument cable- Blue;254;1+;211
