SKU;BRAND;MODEL SEIRES;DESCRIPTION;RSP;2025-05-07 00:00:00.1;COST INC VAT
PROAUD002;AUDIOCENTER;P48;4in / 8out speaker management system Quick software set up and navigation via usb cable 1U rack space sleek design with well lit LCD and LEDs. 30 save / recall presets 2 Sec ultra long delay. Sampeling rate: 96KHz;15480;1+;12900
PROHYB002;HYBRID;DSP24;2in / 4out DSP 3 x basic user edit presets-27 Hybrid loaded presets-2 pro-user edit presets LPF & HPF crossover- 8 in & out PEQ- output limiters- time align- in-out gain- on-board & wifi controlled- preset save & recall- password editable & protected;2148;<1;1790
PSUHYB001;HYBRID;PSU-MIX-L;Replacement external PSU for hybrid med/large format mixers- 20VA- (18.5V x 2);205;<1;170
PSUHYB002;HYBRID;PSU-MIX-S;Replacement external PSU for hybrid small format mixers- 7.5VA- (18.5V x 2);206;1+;171
RECBEY001;BEYMA;18P1000FE V2-RK;Recone kit for Beyma 18P1000FEV2- 8Ω;2758;1+;2298
RECBEY002;BEYMA;SM118/N-RK;Recone kit for Beyma SM118/N- 8Ω;1414;1+;1178
RECBEY0028;BEYMA;18WRS600-RK;Recone kit for Beyma 18WRS600- 8Ω;2099;1+;1749
RECBEY003;BEYMA;15P1000FE-RK;Recone kit for Beyma 15P1000FE- 8Ω;1398;1+;1165
RECBEY004;BEYMA;15P80FE-RK;Recone kit for Beyma 15P80FE- 8Ω;1297;1+;1080
RECBEY006;BEYMA;12P80FE-RK;Recone kit for Beyma 12P80FE- 8Ω;2145;1+;1787
RECBEY007;BEYMA;SM112/N-RK;Recone kit for Beyma SM112/N- 8Ω;719;1+;599
RECBEY012;BEYMA;18P1200ND/N/4OHM-RK;Recone kit for Beyma 18P1200ND/N- 4Ω;2448;1+;2040
RECBEY014;BEYMA;18G50-RK;Recone kit for Beyma 18G50- 8Ω;3214;1+;2678
RECBEY017;BEYMA;18LEX1600ND-RK;Recone kit for Beyma 18LEX1600ND- 8Ω;3814;1+;3178
RECBEY018;BEYMA;18PW1400FE-RK;Recone kit for Beyma 18P1000FEV2- 8Ω;2974;1+;2478
RECBEY019;BEYMA;15LX60 V2-RK;Recone kit for Beyma 15LX60V2- 8Ω;1547;1+;1289
RECBEY020;BEYMA;12LX60 V2-RK;Recone kit for Beyma 12LX60 V2- 8Ω;1548;1+;1290
RECBEY021;BEYMA;12WRS400/WR400-RK;Recone kit for Beyma 12WRS400- 12WR400- 8Ω;1593;1+;1327
RECBEY022;BEYMA;8MI100-RK;Recone kit for Beyma 8MI100- 8Ω;1081;1+;900
RECBEY023;BEYMA;15MC500 15MCS-RK;Recone kit for Beyma 15MC500- 15MCS500- 8Ω;1231;1+;1025
RECBEY024;BEYMA;15MCB700-RK;Recone kit for Beyma 15MCB700- 8Ω;1856;1+;1546
RECBEY025;BEYMA;12MCB700-RK;Recone kit for Beyma 12MCB700- 8Ω;1503;1+;1252
RECBEY026;BEYMA;12MC500/12MCS500-RK;Recone kit for Beyma 12MC500- 12MCS500- 8Ω;1662;1+;1385
RECBEY028;BEYMA;18LEX1000FE/ND-RK;Recone kit for Beyma 18LEX1000ND- 18LEX1000FE- 8Ω;2113;1+;1760
RECBEY029;BEYMA;15LEX1000FE/ND-RK;Recone kit for Beyma 15LEX1000ND- 15LEX1000FE- 8Ω;1567;1+;1305
RECBEY030;BEYMA;18LEX1600FE-RK;Recone kit for Beyma 18LEX1600FE- 8Ω;2395;1+;1995
RECBEY031;BEYMA;15P80ND-RK;Recone kit for Beyma 15P80ND- 8Ω;2102;1+;1751
RECBEY034;BEYMA;10WR300-RK;Recone kit for Beyma 8MI100- 8Ω;0;1+;0
RECBEY035;BEYMA;18LEX1200FE-RK;Recone kit for Beyma 18LEX1200FE- 8Ω;1794;1+;1495
RECCEL001;CELTO;8MB220-8-RK;Recone kit for 8MB220-8 (CT8 LF- BT8MK2- BT8SE);541;1+;450
RECCEL002;CELTO;10MB320-8-RK;Recone kit for 10MB320-8 (CT10 LF- BT10MK3);444;1+;370
RECCEL003;CELTO;12MB300-8-RK;Recone kit for 12MB300-8 (BT12MK3);780;1+;650
RECCEL010;CELTO;15B500A-8-RK;"Recone kit for 15B500A-8 (A152; B15MK3; B215KM3)";982;1+;818
RECCEL011;CELTO;15B720-8-RK;Recone kit for 15B720-8 (EX15MK2- EX152MK2- EX152MK2);1172;1+;976
RECCEL012;CELTO;15MB501-8-RK;Recone kit for 15MB501-8 (BT15SE- HP15- HP152);1299;1+;1082
RECCEL021;CELTO;12MB452-8-RK;Recone kit for 12MB452-8;728;1+;606
RECCEL023;CELTO;8MB205-8-RK;Recone kit for 8MB205-8 (HP8);614;1+;511
RECCEL024;CELTO;12CMB500-8-RK;Recone kit for 12CMB500-8 (HP12MK2);1149;1+;957
RECCEL025;CELTO;15CMB700-8-RK;Recone kit for 15CMB700-8;1670;1+;1391
RECCEL026;CELTO;18EX900-8-RK;Recone kit for18EX900-8 (PK18MK2- PK218MK2);1461;1+;1217
RECCEL027;CELTO;18EX1505-8-RK;Recone kit for 18EX1505-8 (SU218TL- HX118S A1- HP18X - HP218X);2817;1+;2347
RECCEL029;CELTO;12MBN500-16-RK;Recone kit for 12MBN500-16 (IWAC212 LF- LA212SE);1441;1+;1200
RECCEL031;CELTO;12MBK400-8-RK;Recone kit for 12MBK400-8 (FT12);570;1+;475
RECCEL032;CELTO;12MBK450-8-RK;Recone kit for 12MBK450-8 (HP12);1392;1+;1160
RECCEL033;CELTO;15MB403-8-RK;Recone kit for 15MB403-8 (PK15 MAX);718;1+;598
RECCEL035;CELTO;18EX1000-8-RK;Recone kit for 18EX1000-8 (FT18S MK1- FT218S MK1- CT118S- CT218S);1927;1+;1605
RECCEL036;CELTO;18EX1400-8-RK;Recone kit for 18EX1400-8 (CSW118 / CSW218);2223;1+;1852
RECCEL037;CELTO;10CX300-8-RK;Recone kit for 10CX300 and 10CX300ACD (iFIX10 Gen1- iFIX10+ and CMP10 LF);335;1+;279
RECCEL040;CELTO;21EX1800-8-RK;Recone kit for 21EX1800-8 (HP21S);3421;1+;2850
RECCEL042;CELTO;12MB450-16-RK;Recone kit for 12MB450-16 (LA212);1441;1+;1200
RECCEL043;CELTO;15MB354-4-RK;Recone kit for 15MB354-4 (ALTIUM 15);927;1+;772
RECCEL044;CELTO;10MB300-16-RK;Recone kit for 10MB300-16 (PLA10);969;1+;807
RECCEL045;CELTO;6CX150-12-RK;Recone kit for 6CX150-12 (iFIX6 LF);819;1+;682
RECCEL046;CELTO;8CX200-8-RK;Recone kit for 8CX200-8 (iFIX7 LF);964;1+;803
RECCEL047;CELTO;8CX150-12-RK;Recone kit for 8CX150-8 (iFIX8 LF);679;1+;565
RECCEL048;CELTO;8MB201-8-RK;Recone kit for 8MB201-8 (CT8 G2 LF- HP8MK2- A8);722;1+;601
RECCEL049;CELTO;12MB402-8-RK;Recone kit for 12MB402-8 (CT12 and CT12G2 LF);1228;1+;1023
RECCEL050;CELTO;12MB505-8-RK;Recone kit for 12MB505-8;1303;1+;1085
RECCEL051;CELTO;13B700-8-RK;Recone kit for 13B700-8 (SU113- CT15G2- PM15G2 and iFIX13s A3 LF);1372;1+;1143
RECCEL053;CELTO;15BN900-8-RK;Recone kit for 15BN900-8 (VT15- VT152- VT153- XL15 LF);1805;1+;1504
RECCEL054;CELTO;10CXN400LA-16-RK;Recone kit for 10CXN400LA-16 (IsoRay10+ LF);1617;1+;1347
RECCEL055;CELTO;10MBN350-16-RK;Recone kit for 10MBN350-16 (IWAC210 G1 & G2 LF);1073;1+;894
RECCEL058;CELTO;13MB500-6-RK;Recone kit for 13MB500-6 (iFix13S- PM13 LF- A12S);359;1+;299
RECCEL059;CELTO;15KV500-8-RK;Recone kit for 15KV500-8;359;1+;299
RECCEL060;CELTO;15MB620-8-RK;Recone kit for 15MB620-8 (CT15 LF);359;1+;299
RECCEL061;CELTO;18S700-4-RK;Recone kit for 18S700-4 (AS18);478;1+;398
RECCEL062;CELTO;12MB410-8-RK;Recone kit for 12MB410-8;262;1+;218
RECCEL066;CELTO;12MB354-4-RK;Recone kit for 12MB354-4 (ALTIUM 12);994;1+;828
RECCEL067;CELTO;15MB458-8-RK;Recone kit for 15MB458-8 (PK15UE);1239;1+;1032
RECHYB001;HYBRID;15H600-RK;"Recone kit for 15H600- 8Ω- 4"" voice coil. Recone kit includes glue";322;1+;268
RECHYB008;HYBRID;18H800-RK;"Recone kit for 18H800- 8Ω- 4"" voice coil. Recone kit includes glue";500;1+;416
RECHYB009;CELTO;15S600-8 -RK;Recone kit for 15S600-8 (EX15MK1- EX152MK1- EX153MK1);455;1+;379
RECHYB010;HYBRID;15H250-RK;"Recone kit for 15H250- 8Ω- 2.5"" voice coil. Recone kit includes glue";284;1+;236
RECHYB011;HYBRID;15H300-RK;"Recone kit for 15H300- 8Ω- 3"" voice coil. Recone kit includes glue";284;<1;236
RECHYB012;HYBRID;15H350-RK;"Recone kit for 15H350- 8Ω- 3"" voice coil. Recone kit includes glue";310;1+;258
RECHYB014;HYBRID;18H400-RK;"Recone kit for 18H400- 8Ω- 4"" voice coil. Recone kit includes glue";500;<1;416
SMOHYB001;HYBRID;HS1200;900W compact smoke machine- 4.5min preheat- 10-000ft³/min output;1533;1+;1277
SMOHYB002;HYBRID;HS2000;1500W smoke machine- 8 min preheat- 20-000ft³/min output;2461;1+;2050
SMOHYB007;HYBRID;FLG-5;5L heavy-duty smoke fluid (water-based);265;1+;220
SMOHYB009;HYBRID;ESS-STRAWBERRY;30ml strawberry essence (concentrate for 5L);78;1+;65
SMOHYB010;HYBRID;ESS-ROSE;30ml rose essence (concentrate for 5L);78;1+;65
SMOHYB011;HYBRID;FLG-2;2L heavy-duty smoke fluid (water-based);121;1+;100
SMOHYB017;HYBRID;HLF1200;1200W Low Fog Machine- 4min preheat- 2.3L tank- 7-9m range;14253;1+;11877
SMOHYB020;HYBRID;HZL-2;High-density haze fluid 1L (oil-based);360;1+;300
SMOHYB021;HYBRID;FLY-5;5L low fog fluid;551;1+;459
SMOHYB022;HYBRID;FLG-25;25L heavy-duty smoke fluid (water-based);1235;1+;1029
SMOHYB025;HYBRID;ESS-VANILLA;30ml vanilla essence (concentrate for 5L);78;1+;65
SMOHYB027;HYBRID;HZR900;Hazer Initial Warm-up Time: Approximately 3 minutes Control Protocol: DMX512 and Auto DMX In/Out Connectors: 3 Pin XLR DMX Channels: 2CH Temperature Control: Electronic Thermo-Control Continuous Output: Yes Automatic Cleaning Function;4411;1+;3675
SMOHYB028;HYBRID;HS1600D;1600W smoke machine- 3 min warm-up- 7-9m range- 2.3L tank- with DMX;3056;1+;2546
SMOHYB029;HYBRID;HLF1500D;1500W Dual-nozzle Low Fog machine- 3min preheat- 2.3L tank- 7-9m range;20499;1+;17082
SNAHYB001;HYBRID;SNA1630;12 send + 4 return- 30M snake cable;6315;1+;5262
SNAHYB002;HYBRID;SNA2030;16 send + 4 return- 30M snake cable;8002;1+;6668
SNAHYB003;HYBRID;SNA2430;20 send + 4 return- 30M snake cable;9437;1+;7864
SNAHYB004;HYBRID;SNA2850;24 send + 4 return- 50M snake on drum with castors;19492;0;16243
SNAHYB005;HYBRID;SNA3250;28 send + 8 return- 50M snake on drum with castors;23007;1+;19172
SNAHYB006;HYBRID;SNA4050;32 send + 8 return- 50M snake on drum with castors;29118;1+;24265
SNAHYB007;HYBRID;SNA2830;24 send + 4 return- 30M snake cable;11142;1+;9285
SOUHYB001;HYBRID;OPAL22;2in / 2out audio interface True 48V Phantom for full dynamic range on mics Direct monitor routes inputs directly to outputs Midi In / Out Interface Completely USB bus-powered A-D conversion via AKM AK5358 w up to 24bit 96kHz;1491;1+;1242
SOUMON001;MONKEY BANAN;JUNGLEMATE;2 channel audio interface with Bitwig Studio 8-Track DAW software;2160;1+;1800
SPEAUD038;AUDIOCENTER;K-LA218DSP;"Dual 18"" active sub 2800W rms- 134dB 1W/1m Kevlar 18""- 4""VC Class D amp- DSP LPF: 80Hz- 100Hz- 120Hz Const: Russ birtch- 4 x handles- M20 pole mount Protect: DC- short cct- soft start- limiter- overload- thermal Size & weight:1080x595x760mm (WxHxD)-101kg";48499;<1;40415
SPEAUD060;AUDIOCENTER;T45-DSP;"Active DSP-controlled line array- 4 x 5"" LF- 2 x 1"" HF";19068;<1;15890
SPEAUD073;AUDIOCENTER;MA15;"15"" active full-range with TWS Bluetooth class D amp";8737;0;7280
SPEAUD074;AUDIOCENTER;MA12;"12"" active full-range with TWS Bluetooth- class D amp";7426;1+;6188
SPEAUD076;AUDIOCENTER;MA118;"18"" active subwoofer 700W- SPL 128dB 1W/1m- class D amplification DSP-controlled- 24 bit sampling rate 3 LPF to choose from: 80Hz 100Hz 120HZ LF: 4""VC Const: Plywood with hard-wearing paint M20 Pole mount Size / weight: 510 x 632 x 695mm (WxHxD)- 45kg";13462;1+;11218
SPEAUD077;AUDIOCENTER;XLA102;"Dual 10"" Active DSP line array- 2 x 10""LF- 2 x 1.75"" HF(Beyma)- 1600W- FIR";25395;1+;21162
SPEAUD078;AUDIOCENTER;GT512A;"12"" active full-range- class D amp- tour-grade-1100W";13137;1+;10947
SPEAUD079;AUDIOCENTER;GT515A;"15"" active full-range- class D amp-tour-grade-1100W";13705;1+;11420
SPEAUD080;AUDIOCENTER;WM3210A;"Dual 10"" active wedge monitor 1100W- LF:2x10""- HF:1x1.75"" Directivity: 60°x90° (HxV) Pesets: Flat- vocal & drum DSP: 48kHz sig sample FIR filtering Plywood- 19kg- forced air cooling Protections: DC- short cct - soft start- limiter- overload - thermal";11095;1+;9245
SPEAUD081;AUDIOCENTER;AVANDA212A;"Dual 12""- 3-way line array - Beyma loaded- 2 x 12""LF- 4 x 5""MF- 2x3"" Neo HF- 2600W";55469;1+;46224
SPEAUD083;AUDIOCENTER;S3218A;"Dual 18"" active subwoofer 2000W- 134dB 1W/1m Class D amplification- DSP: 48kHz signal sampling LPF switch: 80Hz- 100Hz- 120Hz Protections: DC- short cct- soft start- limiter- overload- thermal Construction: Plywood- M20 pole mount- 4 x handles";26215;1+;21845
SPEAUD088;AUDIOCENTER;SA310+;"10"" active full-range with TWS Bluetooth- class D amp";7718;1+;6431
SPEAUD089;AUDIOCENTER;SA312+;"12"" active full-range with TWS Bluetooth- class D amp";8881;1+;7400
SPEAUD090;AUDIOCENTER;SA315+;"15"" active full-range with TWS Bluetooth- class D amp";9960;1+;8300
SPEAUD091;AUDIOCENTER;AVANDA218A;"""Dual 18""- 4000W RMS active sub BEYMA neo 4""VC- 27-110Hz-138dB 1W/1m Presets: 80Hz-100Hz-Card Class D-DSP 96KHz sampling Protect:DC- short- soft start- limit- overload- thermal Const:Baltic birch-4xhandles-M20 pole mount Dim:1252x556x749mm(WxHxD)-99kg";60530;<1;50441
SPEAUD092;AUDIOCENTER;ASTRA210A;"Dual 10"" Active DSP line array- 2 x 10""LF- 2 x 1.75""HF- 1600W- FIR- 40Hz-20KHz-30kg";23311;<1;19425
SPEBEY001;BEYMA;18P1000FE V2;"18""- 1200W- 4""VC- 98dB- 30-2000Hz- 8Ω- cast frame";7433;1+;6194
SPEBEY003;BEYMA;15P1000FE V2;"15""- 1000W- 4""VC- 98dB- 45-2000Hz- 8Ω- cast frame";5328;1+;4440
SPEBEY024;BEYMA;15LX60V2;"15""- 700W- 4""VC- 98dB- 30-1500Hz- 8Ω- cast frame";3985;1+;3320
SPEBEY025;BEYMA;12LX60 V2;"12""- 700W- 4""VC- 96dB- 35-5000Hz- 8Ω-cast frame";3046;1+;2538
SPEBEY026;BEYMA;12WRS400;"12""- 400W- 3""VC- 97dB-45-5000Hz-8Ω-press frame";2764;1+;2303
SPEBEY030;BEYMA;15LEX1000FE;"15""- 1000W- 3.5""VC- 97dB-40-1000Hz-8Ω-cast frame";4195;1+;3495
SPEBEY032;BEYMA;15MCB700;"15""- 700W- 3""VC- 99dB- 45-4000Hz- 8Ω- cast frame";4722;1+;3935
SPEBEY034;BEYMA;12MCS500;"12""-500W-2.5""VC-98dB-65-5000Hz-8Ω-press frame";3120;1+;2600
SPEBEY036;BEYMA;8WRS300;"8""- 300W- 2""VC- 95dB- 65-4000Hz- 8Ω- pressed frame";2139;0;1782
SPEBEY037;BEYMA;18LEX1600FE;"18""- 1600W- 4""VC- 96dB- 30-1200Hz- 8Ω- cast frame";5923;1+;4935
SPEBEY041;BEYMA;18WRS600;"15""- 600W- 3""VC-97dB-35-1000Hz-8Ω-pressed frame";4898;1+;4081
SPEBEY043;BEYMA;18LEX1200FE;"18""- 1200W- 4""VC- 97dB- 40-1000Hz- 8Ω- cast frame";5090;1+;4241
SPEBEY044;BEYMA;12MC500;"12""- 500W- 2.5""VC- 98dB- 65-5000Hz- 8Ω- cast frame";3215;1+;2679
SPEBEY045;BEYMA;15MC500;"15""- 500W- 2.5""VC- 98dB- 50-4000Hz- 8Ω- cast frame";3580;1+;2983
SPECEL001;CELTO;18NGW1200-8;"18""- 1200W- 4""VC- 97dB- 8Ω- die-cast aluminium";3552;1+;2960
SPECEL008;CELTO;18SW1500-8;"18""- 1500W- 4""VC- 97dB- 8Ω- die-cast aluminium";4794;1+;3995
SPECEL009;CELTO;18SW1000-8;"18""- 1000W- 3.6""VC- 98dB- 8Ω- die-cast aluminium";3373;1+;2810
SPECEL012;CELTO;12NG500-8;"12""- 500W- 3""VC- 97dB- 8Ω- die-cast aluminium";2004;1+;1670
SPECEL013;CELTO;12PF600-8;"12""- 600W- 3""VC- 97dB- 8Ω- die-cast aluminium";2766;1+;2305
SPECEL014;CELTO;15NG500-8;"15""- 500W- 3""VC- 98dB- 8Ω- die-cast aluminium";2228;1+;1856
SPECEL015;CELTO;15PF800-8;"15""- 800W- 3.6""VC- 98dB- 8Ω- die-cast aluminium";3229;1+;2690
SPECEL093;CELTO;12MB505-8;"12""- 500W- 3""VC- 8Ω- die-cast aluminium";2927;1+;2439
SPECEL113;CELTO;21SW1800-8;"21""- 1800W- 4.5""VC- 98dB- 8Ω- die-cast aluminium";5952;1+;4960
SPECEL118;CELTO;18SW1200-8;"18""- 1200W- 4""VC- 97dB- 8Ω- die-cast aluminium";4123;1+;3435
SPEHYB001;HYBRID;PB8N;"8"" 2-way full-range passive cabinet- 110W- 93dB w/m";1169;<1;974
SPEHYB002;HYBRID;PB12N;"12"" 2-way full-range passive cabinet- 220W-95dB w/m";2020;1+;1683
SPEHYB003;HYBRID;PB15N;"15"" 2-way full-range passive cabinet- 340W-96dB w/m";2652;<1;2210
SPEHYB004;HYBRID;PB12A;"12"" 2-way full-range active cabinet- 220W- 95dB w/m";3876;1+;3230
SPEHYB005;HYBRID;PB15A;"15"" 2-way full-range active cabinet- 340W- 96dB w/m";4011;<1;3342
SPEHYB006;HYBRID+;HP12;"12"" full-range passive speaker- 500W- plywood";9154;1+;7628
SPEHYB009;HYBRID;15H600;"15"" woofer. 600W-8Ω-4"" VC-120Oz Ferrite-SPL:94dB";1809;<1;1507
SPEHYB011;HYBRID;15H300;"15"" woofer. 300W-8Ω-3"" VC-90Oz Ferrite-SPL:94dB";1065;<1;887
SPEHYB012;HYBRID+;HP21S;"21"" sub-bass- 1800W- reinforced ply";15919;1+;13265
SPEHYB013;HYBRID;18H400;"18"" woofer. 400W-8Ω-4"" VC-120Oz Ferrite-SPL:96dB";1893;<1;1577
SPEHYB014;HYBRID+;HP15;"15"" full-range passive speaker- 600W- plywood";11247;1+;9372
SPEHYB015;HYBRID+;HP152;"Dual 15"" full-range passive speaker- 1200W- plywood";15081;1+;12567
SPEHYB017;HYBRID+;ALTIUM15;"15"" LF + 1"" HF active full-range speaker with DSP";9459;0;7882
SPEHYB019;HYBRID;15H350;"15"" woofer. 350W-8Ω-3"" VC-100Oz Ferrite-SPL:97dB";1495;1+;1245
SPEHYB024;HYBRID;PB8N-HF;"1"" HF driver for PB8N. 20W- 8Ω- screw-in";173;1+;144
SPEHYB025;HYBRID;PB8N-LF;"8"" woofer. 100W-8Ω";262;1+;218
SPEHYB027;HYBRID;PLB12;"12"" 2-way full-range pass wood cab- 220W- 95dB w/m";2864;1+;2386
SPEHYB029;HYBRID;12H200S;"12"" woofer. 200W-8Ω-2.5"" VC-50Oz Ferrite-SPL:91dB";648;0;540
SPEHYB030;HYBRID;PLB15;"15"" 2-way full-range pass wood cab- 340W- 96dB w/m";3583;1+;2985
SPEHYB031;HYBRID;PLB215;"Dual 15"" 2-way full-range wood cab- 650W- 99dB w/m";5236;1+;4363
SPEHYB032;HYBRID;LB15;"15"" sub-bass passive wooden cab- 600W- 98dB w/m- 40Hz";4189;1+;3490
SPEHYB033;HYBRID;LB18;"18"" sub-bass passive wooden cab- 800W- 99dB w/m- 35Hz";5917;1+;4930
SPEHYB034;HYBRID;15H250;"15"" woofer. 250W-8Ω-2.5"" VC-60Oz Ferrite-SPL:95dB";855;<1;712
SPEHYB036;HYBRID;LB218;"Dual 18"" sub-bass passive wooden cab- 800W- 101dB w/m- 32Hz";8897;1+;7414
SPEHYB038;HYBRID;PB215N;"Dual 15"" 2-way full-range pass cab- 650W- 98dB w/m";3732;1+;3110
SPEHYB039;HYBRID;CL6MKII;"6""- 6W full-range ceiling mount speaker- 100V";202;<1;168
SPEHYB040;HYBRID;CL8MKII;"8""- 10W full-range ceiling mount speaker- 100V";265;1+;220
SPEHYB041;HYBRID;CL6S;"6""- 6W full-range surface mount speaker- 100V";484;1+;403
SPEHYB042;HYBRID;CH6MKII;"6""- 30W coaxial ceiling mount speaker- 100V";624;0;520
SPEHYB043;HYBRID;CH8MKII;"8""- 40W coaxial ceiling mount speaker- 100V";745;<1;620
SPEHYB044;HYBRID;HS5;"5"" full-range hanging speaker Power: 10W- tappings: 10W- 5W- 2.5W Input: 100V line Indoor / outdoor- IP55 Sensitivity: 91dB 1W/1m Frequency response: 130Hz - 15KHz Material: ABS moulded- white colour Weight / Size: 1.6kg / 138mm diameter x 205mm";576;1+;480
SPEHYB045;HYBRID;SP6;"6"" coaxial sound projector Power: 30W- tappings: 8Ω / 30W- 15W- 7.5W- 3.8W Input: 100V line Indoor / outdoor- IP55 Sensitivity: 92dB 1W/1m Frequency response: 110Hz - 15KHz Material: ABS moulded- white colour Weight / Size: 1.7kg / 170mm Dia x 245mm";855;<1;712
SPEHYB046;HYBRID;C63;"6 x 3"" column speaker- 30W- 100V-IP44- 30/15Wtapp";992;1+;826
SPEHYB047;HYBRID;C83;"8 x 3"" column speaker- 40W- 100V- IP44-40/20W tapp";1260;1+;1050
SPEHYB051;HYBRID;12H150;"12"" woofer. 150W-8Ω-2"" VC-40Oz Ferrite-SPL:92dB";570;1+;475
SPEHYB052;HYBRID;PM12;"12"" 2-way full-range passive cabinet- 170W-94dB w/m";1870;1+;1558
SPEHYB053;HYBRID;PM15;"15"" 2-way full-range passive cabinet- 220W-95dB w/m";2433;1+;2027
SPEHYB054;HYBRID;15H200;"15"" woofer. 200W-8Ω-2.5"" VC-50Oz Ferrite-SPL:94dB";799;1+;665
SPEHYB068;HYBRID+;PLA10;"10""&1.5"" passive line-array cabinet.400W-99dB1w/m";14792;1+;12326
SPEHYB086;HYBRID;PB15AUB;"15"" 2-way full-range active cab w media play- 340W";4497;<1;3747
SPEHYB126;HYBRID;W4W WHITE;"4""- 20W wall speaker- 8Ω/100V- 5 tappings- White";786;1+;655
SPEHYB127;HYBRID;W4B BLACK;"4""- 20W wall speaker- 8Ω/100V- 5 tappings- Black";786;<1;655
SPEHYB128;HYBRID;W5W WHITE;"5""- 30W wall speaker- 8Ω/100V- 5 tappings- White";893;1+;744
SPEHYB129;HYBRID;W5B BLACK;"5""- 30W wall speaker- 8Ω/100V- 5 tappings- Black";893;1+;744
SPEHYB130;HYBRID;W6W WHITE;"6""- 40W wall speaker- 8Ω/100V- 5 tappings- White";1162;<1;968
SPEHYB131;HYBRID;W6B BLACK;"6""- 40W wall speaker- 8Ω/100V- 5 tappings- Black";1162;1+;968
SPEHYB132;HYBRID;W8W WHITE;"8""- 60W wall speaker- 8Ω/100V- 5 tappings- White";1903;<1;1585
SPEHYB133;HYBRID;W8B BLACK;"8""- 60W wall speaker- 8Ω/100V- 5 tappings- Black";1903;1+;1585
SPEHYB139;HYBRID;PA8B;"12"" active & battery operated- 40W full range cabinet";1990;1+;1658
SPEHYB140;HYBRID;PA12B;"12"" active & battery operated- 75W full range cabinet";3732;1+;3110
SPEHYB141;HYBRID;PA15B;"15"" active & battery operated- 75W full range cabinet";4191;1+;3492
SPEHYB143;HYBRID;HF5;"5"" active / passive personal monitors Power: 50W Inputs: XLR mic- 3.5mm jack line LF: 5""- 25W HF: Silk dome tweeter- 5W Rotary volume control Rotary EQ tone control Bluetooth enabled";2137;1+;1780
SPEHYB145;HYBRID+;PK15UE;"15"" full-range passive speaker- 500W- plywood";7501;1+;6250
SPEHYB146;HYBRID+;PK18UE;"Single 18"" sub-bass- 1000W- plywood";9986;1+;8321
SPEHYB147;HYBRID+;PK152UE;"Dual 15"" full-range passive speaker- 100W- plywood";10164;1+;8470
SPEHYB148;HYBRID+;PK218UE;"Dual 18"" sub-bass- 2000W- plywood";14508;1+;12090
SPEHYB153;HYBRID+;HP18X;"18"" bandpass horn sub-bass- 1500W- reinforced ply";13110;1+;10925
SPEHYB154;HYBRID+;HP218;"Dual 18"" sub-bass- 2400W- reinforced ply";23490;1+;19575
SPEHYB155;HYBRID+;HP218X;"Dual 18"" bandpass horn sub-3000W-reinforced ply";24797;1+;20664
SPEHYB163;HYBRID;18H800;"18"" woofer. 800W-8Ω-4"" VC-173Oz Ferrite-SPL:95dB";2639;1+;2199
SPEHYB164;HYBRID+;HP8;"8"" full-range passive speaker- 250W- plywood";6397;1+;5330
SPEHYB171;HYBRID+;ALTIUM12;"12"" LF + 1"" HF active full-range speaker with DSP";8146;<1;6788
SPEHYB172;HYBRID;PC8LB;"8"" sub with column- active & battery operated- 75W";3204;1+;2670
SPEHYB173;HYBRID;HSB01;Low profile soundbar- 40W- Bluetooth enabled;912;1+;760
SPEHYB174;HYBRID;HSB-SUB01;Low profile soundbar with sub-bass- 40W + 40W- Bluetooth enabled;1944;1+;1620
SPEHYB175;HYBRID;L6A;"Dual 6"" LF + dual 1"" HF active line array with DSP- 240W";5040;1+;4200
SPEHYB176;HYBRID;L6P;"Dual 6"" LF + dual 1"" HF passive line array with DSP- 240W";2953;1+;2460
SPEHYB177;HYBRID;LS18A;"Single 18"" active sub-bass with DSP- 1000W";9000;1+;7500
SPEHYB178;HYBRID;LS218A;"Dual 18"" active sub-bass with DSP- 2000W";15048;1+;12540
SPEHYB179;HYBRID+;FP-18-1000-ASS;"18"" bass-flat-pack-assembled with 1000W woofer";7948;1+;6623
SPEHYB180;HYBRID+;FP-18-1200-ASS;"18"" bass-flat-pack-assembled with 1200W woofer";8523;1+;7102
SPEHYB184;HYBRID;PA12DSP;"12"" active full-range with DSP & Bluetooth- 500W";5696;1+;4746
SPEHYB185;HYBRID;PA15DSP;"15"" active full-range with DSP & Bluetooth- 500W";6043;1+;5035
SPEHYB186;HYBRID+;ALTIUM18;"Single 18"" active sub-bass Power: 600W- SMPS- class D amplification DSP with 4 user presets / DSP onboard or wifi control Input & link: XLR male & female Peak LED real-time indicator Power in & Power out mains conn Cabinet const: birch-ply M32 Pole Moun";11268;<1;9390
SPEHYB189;HYBRID;W3WHITE;"3""- 15W wall speaker- 8Ω/100V- 5 tappings- White";708;1+;590
SPEHYB190;HYBRID;W3BLACK;"3""- 15W wall speaker- 8Ω/100V- 5 tappings- Black";708;1+;590
SPEHYB191;HYBRID;CL6B-EVAC;"6""-6W evacuation ceiling speaker-100V.EN54-24";413;1+;344
SPEMON001;MONKEY BANAN;GIBBON 5-BLACK;"Studio active monitor- 5.25""- bi-amp-45W+35W-black";3172;1+;2643
