"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"RAD-R800101800","R800101800","Radial JRAK 8 Rack adaptor houses up to 8 Radial DI boxes in two rack 19" spaces","0","R 4,480.00"
"RAD-R800102500","R800102500","Radial J-Iso Balanced +4dB to -10dB unbalanced passive stereo converter, full range","0","R 6,914.00"
"RAD-R800102600","R800102600","Radial JPC Active DI, stereo inputs for laptops & CD players, phantom powered","1","R 5,288.00"
"RAD-R800109000","R800109000","Radial P-CLAMP Flanged adaptor for mounting small size Radial DIs to any surface","0","R 1,176.00"
"RAD-R800110000","R800110000","Radial ProDI Passive DI for high output acoustic, guitar bass & keyboards","25","R 2,746.00"
"RAD-R800110200","R800110200","Radial ProD2 Passive DI with two channels, made for high output keyboards","19","R 4,271.00"
"RAD-R800110500","R800110500","Radial Pro48 Active DI for acoustic guitar & bass, 48V phantom powered","11","R 2,746.00"
"RAD-R800112200","R800112200","Radial ProMS2 Mic splitter, passive, 1 input, 2 direct outs & 1 Eclipse isolated output","1","R 3,152.00"
"RAD-R800112500","R800112500","Radial ProRMP Passive Reamper with custom transformer and level control","0","R 2,746.00"
"RAD-R800115000","R800115000","Radial Pro-Iso Balanced +4dB to -10dB unbalanced passive converter, voice range","0","R 4,271.00"
"RAD-R800140200","R800140200","Radial JDX-48 Guitar amp DI with speaker emulation & reactive load, phantom powered","0","R 5,288.00"
"RAD-R800140400","R800140400","Radial Direct-Drive Guitar amp simulator with 3 amp settings and balanced DI out*","1","R 5,288.00"
"RAD-R800142000","R800142000","Radial EXTC SA Effects loop interface connects guitar pedals to the recording system","0","R 6,914.00"
"RAD-R800143500","R800143500","Radial StudioQ Studio talkback with built-in mic, external mic input, and program input","1","R 7,321.00"
"RAD-R800143700","R800143700","Radial EXTC Stereo Stereo Effects loop interface connectes guitar pedals to the recording system","0","R 9,151.00"
"RAD-R800144000","R800144000","Radial Gold Digger Passive 4x1 selector, use to compare 4 mics in the studio, XLR i/o","0","R 9,355.00"
"RAD-R800202500","R800202500","Radial HDI Studio-Grade Direct box with Transformer saturation, line output","0","R 17,286.00"
"RAD-R800202600","R800202600","Radial Nuance Select Studio Monitor Controller","0","R 16,072.00"
"RAD-R800300200","R800300200","Radial J48 Stereo Active DI, stereo for guitar & bass, extra headroom & high-pass filter","3","R 8,134.00"
"RAD-R800300500","R800300500","Radial PZ-DI Active DI for orchestra, optimized for piezo and magnetic pickups","0","R 6,101.00"
"RAD-R800501000","R800501000","Radial Power-1 220v 19inch Rack mount power conditioner/surge suppressor, 11 outlets, 220-240V (requires 9V power supply)","0","R 2,644.00"
"RAD-R800700000","R800700000","Radial JD7 Guitar signal splitter & distro, 7 amp outputs, DI box and Reamper","0","R 32,000.00"
"RAD-R800707100","R800707100","Radial Bassbone V2 Bass preamp, dual input w/EQ, power boost, FX loop & built-in Radial DI","1","R 8,541.00"
"RAD-R800720700","R800720700","Radial Mix-Blender Dual input guitar mixer with insert loop to blend in effects*","0","R 5,288.00"
"RAD-R800721000","R800721000","Radial BigShot ABY ABY switcher w/LEDs, true-bypass, transformer isolation & tuner out","0","R 2,746.00"
"RAD-R800721200","R800721200","Radial BigShot i/o Instrument selector w/LEDs, true-bypass with trim level control","0","R 2,746.00"
"RAD-R800721400","R800721400","Radial BigShot EFX Effects loop controller w/LEDs, true-bypass with two discrete loops","0","R 4,271.00"
"RAD-R800721500","R800721500","Radial Shotgun Guitar distro with 1x4 mono or 2x2 stereo routing w/ isolated outputs*","0","R 4,678.00"
"RAD-R800801200","R800801200","Radial Exo-Pod Press-box expander floorbox with 10 XLR and 4 3.5mm outputs","0","R 8,920.00"
