"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"AID-PTZ-NDI3-X20B","PTZ-NDI3-X20B","Aida Imaging Broadcast/Conference NDI |HX3 120fps FHD NDI/IP/SRT/HDMI PoE PTZ Camera 20X Zoom Black","0","R 36,417.00"
"AID-PTZ-NDI3-X20W","PTZ-NDI3-X20W","Aida Imaging Broadcast/Conference NDI |HX3 120fps FHD NDI/IP/SRT/HDMI PoE PTZ Camera 20X Zoom White","0","R 36,417.00"
"AID-PTZ-NDI-X12","PTZ-NDI-X12","Aida Imaging Broadcast/Conference NDI|HX FHD NDI/IP/SDI/HDMI/USB3 PTZ Camera 12X Zoom","0","R 26,371.00"
"AID-PTZ-NDI-X18B","PTZ-NDI-X18B","Aida Imaging Broadcast/Conference NDI|HX FHD NDI/IP/HDMI PTZ Camera 18X Zoom Black","0","R 19,380.00"
"AID-PTZ-NDI-X18W","PTZ-NDI-X18W","Aida Imaging Broadcast/Conference NDI|HX FHD NDI/IP/HDMI PTZ Camera 18X Zoom White","0","R 19,380.00"
"AID-PTZ-NDI-X20","PTZ-NDI-X20","Aida Imaging Broadcast/Conference NDI|HX FHD NDI/IP/SDI/HDMI/USB3 PTZ Camera 20X Zoom","0","R 27,627.00"
"AID-PTZ-X12-IP","PTZ-X12-IP","Aida Imaging Broadcast/Conference FHD IP/SDI/HDMI/USB3 PTZ Camera 12X Zoom","0","R 22,604.00"
"AID-PTZ-X20-IP","PTZ-X20-IP","Aida Imaging Broadcast/Conference FHD IP/SDI/HDMI/USB3 PTZ Camera 20X Zoom","0","R 23,860.00"
"AID-TGEN-6P","TGEN-6P","Aida Imaging 3G-SDI/HD-SDI Tri-Level Genlock Sync Generator","0","R 22,491.00"
"AID-UHD-100A","UHD-100A","Aida Imaging UHD 4K/30 HDMI 1.4 POV Camera with TRS Sterio Audio Input","0","R 14,994.00"
"AID-UHD6G-200","UHD6G-200","Aida Imaging UHD 4K/30 6G-SDI POV Camera","0","R 21,929.00"
"AID-UHD-NDI3-300","UHD-NDI3-300","Aida Imaging UHD 4K/60 NDI |HX3/IP/SRT/HDMI PoE POV Camera","0","R 21,976.00"
"AID-UHD-NDI3-IP67","UHD-NDI3-IP67","Aida Imaging UHD 4K/60 NDI |HX3/IP/SRT PoE Weatherproof POV Camera","0","R 23,232.00"
"AID-UHD-NDI3-X30","UHD-NDI3-X30","Aida Imaging UHD 4K/60 NDI |HX3/IP/SRT/HDMI PoE 30X Zoom POV Camera","0","R 26,999.00"
"AID-UHD-X3L","UHD-X3L","Aida Imaging UHD 4K/30 HDMI 1.4 3X Zoom POV Camera","1","R 17,431.00"
