"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"SEN-003824","003824","Sennheiser MZW 5000-ANT Foam Windshield, Anthracite, For SKM 5200-II","0","R 978.00"
"SEN-004511","004511","Sennheiser E 825-S Dynamic Cardioid Microphone, XLR-3M, With On/Off Switch","29","R 1,840.00"
"SEN-004519","004519","Sennheiser E 604 Dynamic Cardioid/Instrument Microphone with Pivot Mount, XLR-3M, 350 ohms","4","R 3,462.00"
"SEN-004520","004520","Sennheiser E 608 Dynamic Super Cardioid Flexable Instrument Microphone, XLR-3M, 1.5m","3","R 4,626.00"
"SEN-004645","004645","Sennheiser A 1031-U Passive Omni-directional Antenna, UHF, 430-960MHz","9","R 4,626.00"
"SEN-004847","004847","Sennheiser E 865-S Super Cardioid Condenser Microphone, XLR-3M, With On/Off Switch, Mic Clip, Pouch","3","R 5,789.00"
"SEN-005021","005021","Sennheiser CI 1-N Connecting Cable, For Guitars & Basses to SK 100/300/500","5","R 677.00"
"SEN-005022","5022","Sennheiser CL 1-N Line Ouput Cable, For EK 100/500/2000 to Camcorder, 3.5mm Jack","3","R 481.00"
"SEN-005172","005172","Sennheiser MD 46 Dynamic Cardioid Handheld Microphone, Low Wind/Handling Noise","0","R 5,789.00"
"SEN-005173","005173","Sennheiser MD 42 Dynamic Omni-directional Reporter's Microphone, XLR-3M, Extra Long, Without Switch","2","R 4,626.00"
"SEN-005232","005232","Sennheiser POP 1 Black Leather Bag, With Belt Clip","1","R 677.00"
"SEN-005299","005299","Sennheiser MZH 604, Microphone Holder for e 604","0","R 910.00"
"SEN-008544","8544","Sennheiser TLM 103 MT BLACK Studio Set TLM103mt+EA1mt in Carton Box","0","R 29,244.00"
"SEN-009421","009421","Sennheiser E 935 Dynamic Cardioid Microphone, XLR-3M","9","R 4,626.00"
"SEN-009874","9874","Sennheiser E 606 Dynamic Super Cardioid Instrument Microphone, XLR-3","0","R 2,426.00"
"SEN-009895","009895","Sennheiser E 614 Super Cardioid Instrument Microphone","5","R 4,626.00"
"SEN-009912","009912","Sennheiser AM 2 Antenna Front Mount","4","R 1,142.00"
"SEN-009930","009930","Sonova HDR 120-8","0","R 1,685.00"
"SEN-009950","009950","Sennheiser BA 2015 Rechargeable Battery Pack, For Bodypack Transmitters/Receivers (EK 2015, SK 2015)","8","R 1,840.00"
"SEN-009986","009986","Sennheiser CA 2 Camera Adapter, For EK 100/500","2","R 444.00"
"SEN-108-3142","108-3142","Sonova SOUNDPROTEX (US)","0","R 773.00"
"SEN-108-3143","108-3143","Sonova SOUNDPROTEX PLUS (US)","0","R 1,547.00"
"SEN-108-3144","108-3144","Sennheiser SoundProtex Plus Hearing Protection Earplugs, 3x Tip Sizes (Low, Mid, High & Full Black Filters)","47","R 1,547.00"
"SEN-108-3145","108-3145","Sennheiser SoundProtex Hearing Protection Earplugs, 3x Tip Sizes (Mid & Full Black Filters)","66","R 850.00"
"SEN-500074","500074","Sennheiser E 609 Super Cardioid Instrument Microphone, Silver, XLR-3M","2","R 2,306.00"
"SEN-500203","500203","Sennheiser E 908 B Condenser Gooseneck Instrument Microphone, For Brass With MZA 900 P","2","R 8,116.00"
"SEN-500204","500204","Sennheiser E 908 B-EW Condenser Gooseneck Instrument Microphone, For Brass Instruments","8","R 4,626.00"
"SEN-500206","500206","Sennheiser E 914 Condenser Cardioid Instrument Microphone","7","R 9,280.00"
"SEN-500226","500226","Sennheiser MZA 900 P Phantom Power Adapter, XLR 3, 3.5mm Jack Socket","1","R 4,626.00"
"SEN-500432","500432","Sennheiser IE 4 In-ear Stereo Headphones, 1.4m, 3.5mm Jack Plug","29","R 1,840.00"
"SEN-500541","500541","Sennheiser MZH 908 D Microphone Horn Clamp, For Drums","0","R 910.00"
"SEN-500872","500872","Sennheiser MZA 900 P-4","0","R 4,626.00"
"SEN-502195","502195","Sennheiser A 3700 Omni-directional Antenna, With Intergrated AB 3700 Booster, 470-866MHz","0","R 21,693.00"
"SEN-502196","502196","Sennheiser AB 3700 Broadband Antenna Booster, 470-866MHz","0","R 13,005.00"
"SEN-502197","502197","Sennheiser AD 3700 Directional Antenna With Integrated AB 3700 Booster, 470-866MHz","0","R 21,693.00"
"SEN-502575","502575","Sennheiser MMD 835-1 BK Dynamic Cardioid Microphone Module, Black","30","R 2,450.00"
"SEN-502576","502576","Sennheiser MMD 845-1 BK Dynamic Super Cardioid Microphone Module, Black","1","R 2,306.00"
"SEN-502577","502577","Sennheiser MMD 935-1 BK Dynamic Cardioid Microphone Module, Black, Light Grey Identification Ring","22","R 4,626.00"
"SEN-502579","502579","Sennheiser MMD 945-1 BK Dynamic Super Cardioid Microphone Module, Black","2","R 4,626.00"
"SEN-502581","502581","Sennheiser MME 865-1 BK Condenser Super Cardioid Microphone Module, Black","5","R 5,789.00"
"SEN-502582","502582","Sennheiser MMK 965-1 BK True Condenser Capsule, Adjustable Cardioid/Super Cardioid, Black","0","R 12,770.00"
"SEN-502584","502584","Sennheiser MMK 965-1 NI","0","R 12,770.00"
"SEN-503157","503157","Sennheiser Spares - NT 2-3-EU Plug-in Mains Unit, 12V/400mA, For G2/G3","5","R 466.00"
"SEN-503158","503158","Sennheiser Spares - NT 1-1 CW EU Plug-in Mains Unit, 3.8V/2A, For ASA 1, L 2015","4","R 2,073.00"
"SEN-503167","503167","Sennheiser GA 3 Rack adapter set for installing stationary ew G3 and G4 components in 19", black","0","R 1,048.00"
"SEN-504060","504060","Sennheiser MZ 1 Accesory Kit, For MKE 1","9","R 2,306.00"
"SEN-504061","504061","Sonova EZT 3012","0","R 1,503.00"
"SEN-504296","504296","Sennheiser E 600 Series Drum Case Bundle, With 1x E 602-II, 4x E 604, 2x E 614","5","R 24,406.00"
"SEN-504298","504298","Sennheiser MK 4 Large Diaphragm Studio Condenser Cardioid Microphone, 24.4mm, MZQ 4 Mic Clamp","0","R 9,280.00"
"SEN-504299","504299","Sennheiser MKS 4 Elastic Suspension with Open Ring, For MK 4/8","1","R 1,881.00"
"SEN-504611","504611","Sennheiser MKW 4 Foam Windscreen for MK 4","1","R 632.00"
"SEN-504916","504916","Sennheiser AD 1800 (1GB) Passive Directional Antenna, 1785-1805MHz","0","R 5,403.00"
"SEN-505454","505454","Sennheiser MZH 600 Windshield","15","R 1,142.00"
