"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"AID-UHD-100A","UHD-100A","Aida Imaging UHD 4K/30 HDMI 1.4 POV Camera with TRS Sterio Audio Input","0","R 14,994.00"
"AID-UHD6G-200","UHD6G-200","Aida Imaging UHD 4K/30 6G-SDI POV Camera","0","R 21,929.00"
"AID-UHD-NDI3-300","UHD-NDI3-300","Aida Imaging UHD 4K/60 NDI |HX3/IP/SRT/HDMI PoE POV Camera","0","R 21,976.00"
"AID-UHD-NDI3-IP67","UHD-NDI3-IP67","Aida Imaging UHD 4K/60 NDI |HX3/IP/SRT PoE Weatherproof POV Camera","0","R 23,232.00"
"AID-UHD-NDI3-X30","UHD-NDI3-X30","Aida Imaging UHD 4K/60 NDI |HX3/IP/SRT/HDMI PoE 30X Zoom POV Camera","0","R 26,999.00"
"AID-UHD-X3L","UHD-X3L","Aida Imaging UHD 4K/30 HDMI 1.4 3X Zoom POV Camera","1","R 17,431.00"
"AID-WM-PTZ","WM-PTZ","Aida Imaging PTZ Universal Wall Mount Bracket","0","R 1,200.00"
"AID-WM-PTZ-W","WM-PTZ-W","Aida Imaging PTZ Universal Wall Mount Bracket White","0","R 1,200.00"
"AMP-026-4026-100","026-4026-100","Amphenol Standard JAWS AC series (XLR) Cable O.D 6.5mm to 8mm","0","R 09.00"
"AMP-026-4027-000","026-4027-000","Amphenol Large JAWS AC series (XLR) Cable O.D 3mm to 6.5mm","0","R 09.00"
"AMP-50260002-521","50260002-521","Amphenol T Series JAWS Large Cable O.D 6mm to 7.5mm","0","R 09.00"
"AMP-50260003-521","50260003-521","Amphenol T Series JAWS Standard Cable O.D 3mm to 6mm","0","R 09.00"
"AMP-AC3F","AC3F","Amphenol Female XL 3 Inline, Stamped contacts, Nickel finish","2355","R 67.00"
"AMP-AC3F3FBW","AC3F3FBW","Amphenol METAL FEMALE TO FEMALE 3 POLE","0","R 218.00"
"AMP-AC3F3FW","AC3F3FW","Amphenol Female to Female Adaptor","48","R 203.00"
"AMP-AC3F5MW","AC3F5MW","Amphenol XLR 3pin female to 5pin male adapter, Pre-wired, Metal","46","R 296.00"
"AMP-AC3FB","AC3FB","Amphenol Female XLR 3 Inline, Stamped contacts, Black finish","0","R 72.00"
"AMP-AC3F-BULK","AC3F-BULK","Amphenol METAL PLUG STR CORD 3 SKT","0","R 66.00"
"AMP-AC3FDZ","AC3FDZ","Amphenol Female XLR 3 Chassis, Stamped, Nickle Finish (Pro)","361","R 76.00"
"AMP-AC3FDZB","AC3FDZB","Amphenol Female XLR 3 Chassis, Stamped, Black Finish (Pro)","0","R 84.00"
"AMP-AC3M3MW","AC3M3MW","Amphenol Male to Male Adaptor","0","R 184.00"
"AMP-AC3M5FW","AC3M5FW","Amphenol XLR 3pin male to 5pin female adapter, Pre-wired, Metal","10","R 425.00"
"AMP-AC3MB","AC3MB","Amphenol Male XLR 3 Inline, stamped contacts, black finish","0","R 63.00"
